"AverageShortestPathLength","BetweennessCentrality","Classification","ClosenessCentrality","ClusteringCoefficient","ControlCapacity","ControlCentrality","Eccentricity","EdgeCount","Indegree","IsSingleNode","MDS","MSS","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","ProbabilityInMSS","selected","SelfLoops","shared name","Stress"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","PANK2","1.0","0","0","0.0","false","0","PANK2","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","ATP1A3","1.0","1","0","1.0","false","0","ATP1A3","0"
"0.0","0.0","0","0.0","0.0","0.431","1","0","1","1","false","true","true","OXR1","3.0","0","0","0.472","false","0","OXR1","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","NIPAL2","1.0","0","0","0.0","false","0","NIPAL2","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","GUCY1A2","1.0","1","0","1.0","false","0","GUCY1A2","0"
"0.0","0.0","0","0.0","0.0","0.813","1","0","1","1","false","false","false","NEFH","6.0","0","0","0.789","false","0","NEFH","0"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","NCALD","2.0","0","0","0.0","false","0","NCALD","0"
"1.0","0.41666666666666663","1","1.0","0.0","0.498","2","1","2","1","false","false","false","TUBA4A","2.0","1","0","0.498","false","0","TUBA4A","5"
"1.0","0.3333333333333333","1","1.0","0.0","0.385","2","1","2","1","false","true","true","MLLT11","1.5","1","0","0.482","false","0","MLLT11","2"
"1.3333333333333333","0.0","1","0.75","0.0","1.0","3","2","2","0","false","true","true","SYT13","1.5","2","0","1.0","false","0","SYT13","0"
"0.0","0.0","0","0.0","0.0","0.634","1","0","1","1","false","true","true","MAPK8","2.0","0","0","0.494","false","0","MAPK8","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","2","0","false","true","true","CACNB4","1.0","2","0","1.0","false","0","CACNB4","0"
"0.0","0.0","0","0.0","0.0","0.591","1","0","1","1","false","false","false","LIMK1","3.0","0","0","0.479","false","0","LIMK1","0"
"1.3333333333333333","0.09285714285714286","1","0.75","0.0","0.613","3","2","3","1","false","true","true","PAK1","2.0","2","0","0.549","false","0","PAK1","39"
"0.0","0.0","1","0.0","0.0","0.0","1","0","1","1","false","false","false","KIAA0232","1.0","0","0","0.0","false","0","KIAA0232","0"
"1.0","0.0","1","1.0","0.0","1.0","2","1","1","0","false","true","true","SULT4A1","1.0","1","0","1.0","false","0","SULT4A1","0"
"0.0","0.0","0","0.0","0.0","0.611","1","0","1","1","false","false","false","KCNC1","4.0","0","0","0.467","false","0","KCNC1","0"
"1.0","0.07166666666666667","1","1.0","0.0","0.0","2","1","2","1","false","false","false","KCNAB2","2.5","1","0","0.0","false","0","KCNAB2","43"
